"","Tax","TaxLevel","SP","value","Vari"
"161","Luxury",60,"Null",26769.194196123,"CO2_Effect"
"162","Luxury",75,"Null",26077.7919290018,"CO2_Effect"
"163","Luxury",90,"Null",25448.7715780618,"CO2_Effect"
"164","Luxury",105,"Null",24870.8448581725,"CO2_Effect"
"165","Luxury",120,"Null",24335.7253282179,"CO2_Effect"
"166","Luxury",135,"Null",23837.1067194439,"CO2_Effect"
"167","Luxury",150,"Null",23370.0561507845,"CO2_Effect"
"168","Luxury",165,"Null",22930.6298432151,"CO2_Effect"
"169","Luxury",180,"Null",22515.6177302784,"CO2_Effect"
"170","Luxury",0,"Universal",30706.615004915,"CO2_Effect"
"171","Luxury",15,"Universal",29725.5471233589,"CO2_Effect"
"172","Luxury",30,"Universal",28969.212083284,"CO2_Effect"
"173","Luxury",45,"Universal",28341.7413013006,"CO2_Effect"
"174","Luxury",60,"Universal",27803.063123152,"CO2_Effect"
"175","Luxury",75,"Universal",27330.8576935221,"CO2_Effect"
"176","Luxury",90,"Universal",26910.8688582665,"CO2_Effect"
"177","Luxury",105,"Universal",26533.2389339577,"CO2_Effect"
"178","Luxury",120,"Universal",26190.7872641764,"CO2_Effect"
"179","Luxury",135,"Universal",25878.0848431867,"CO2_Effect"
"180","Luxury",150,"Universal",25590.9093373061,"CO2_Effect"
"181","Luxury",165,"Universal",25325.9024246074,"CO2_Effect"
"182","Luxury",180,"Universal",25080.3434804568,"CO2_Effect"
"183","Luxury",0,"Cash",30706.615004915,"CO2_Effect"
"184","Luxury",15,"Cash",29734.2341716036,"CO2_Effect"
"185","Luxury",30,"Cash",28986.2828998571,"CO2_Effect"
"186","Luxury",45,"Cash",28366.8891678838,"CO2_Effect"
"187","Luxury",60,"Cash",27836.010168576,"CO2_Effect"
"188","Luxury",75,"Cash",27371.3535695874,"CO2_Effect"
"189","Luxury",90,"Cash",26958.6865688617,"CO2_Effect"
"190","Luxury",105,"Cash",26588.1711374788,"CO2_Effect"
"191","Luxury",120,"Cash",26252.6433131681,"CO2_Effect"
"192","Luxury",135,"Cash",25946.6884290767,"CO2_Effect"
"193","Luxury",150,"Cash",25666.0965938724,"CO2_Effect"
"194","Luxury",165,"Cash",25407.5203784749,"CO2_Effect"
"195","Luxury",180,"Cash",25168.2487681566,"CO2_Effect"
"196","Luxury",0,"SP_current",30706.615004915,"CO2_Effect"
"197","Luxury",15,"SP_current",29732.5049484813,"CO2_Effect"
"198","Luxury",30,"SP_current",28982.7752520621,"CO2_Effect"
"199","Luxury",45,"SP_current",28361.601443567,"CO2_Effect"
"200","Luxury",60,"SP_current",27828.9548273943,"CO2_Effect"
"201","Luxury",75,"SP_current",27362.5490116405,"CO2_Effect"
"202","Luxury",90,"SP_current",26948.1540165312,"CO2_Effect"
"203","Luxury",105,"SP_current",26575.9331263097,"CO2_Effect"
"204","Luxury",120,"SP_current",26238.7228653457,"CO2_Effect"
"205","Luxury",135,"SP_current",25931.1085727874,"CO2_Effect"
"206","Luxury",150,"SP_current",25648.8800775507,"CO2_Effect"
"207","Luxury",165,"SP_current",25388.6895019255,"CO2_Effect"
"208","Luxury",180,"SP_current",25147.8252863559,"CO2_Effect"
"209","Luxury",0,"SP_covid",30706.615004915,"CO2_Effect"
"210","Luxury",15,"SP_covid",29731.1991840211,"CO2_Effect"
"211","Luxury",30,"SP_covid",28980.1595119064,"CO2_Effect"
"212","Luxury",45,"SP_covid",28357.6991520725,"CO2_Effect"
"213","Luxury",60,"SP_covid",27823.7936590998,"CO2_Effect"
"214","Luxury",75,"SP_covid",27356.1568764451,"CO2_Effect"
"215","Luxury",90,"SP_covid",26940.5580364904,"CO2_Effect"
"216","Luxury",105,"SP_covid",26567.1593093772,"CO2_Effect"
"217","Luxury",120,"SP_covid",26228.7960006488,"CO2_Effect"
"218","Luxury",135,"SP_covid",25920.0522165743,"CO2_Effect"
"219","Luxury",150,"SP_covid",25636.7165828755,"CO2_Effect"
"220","Luxury",165,"SP_covid",25375.4400708305,"CO2_Effect"
"221","Luxury",180,"SP_covid",25133.5100332355,"CO2_Effect"
"222","Luxury",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"223","Luxury",15,"PerfectTargeted",29756.6132076237,"CO2_Effect"
"224","Luxury",30,"PerfectTargeted",29020.0953267373,"CO2_Effect"
"225","Luxury",45,"PerfectTargeted",28408.6818831571,"CO2_Effect"
"226","Luxury",60,"PerfectTargeted",27884.7885078227,"CO2_Effect"
"227","Luxury",75,"PerfectTargeted",27426.6699555284,"CO2_Effect"
"228","Luxury",90,"PerfectTargeted",27017.4196088509,"CO2_Effect"
"229","Luxury",105,"PerfectTargeted",26648.2737314984,"CO2_Effect"
"230","Luxury",120,"PerfectTargeted",26315.621524186,"CO2_Effect"
"231","Luxury",135,"PerfectTargeted",26010.8781927753,"CO2_Effect"
"232","Luxury",150,"PerfectTargeted",25730.3232329531,"CO2_Effect"
"233","Luxury",165,"PerfectTargeted",25469.4281295091,"CO2_Effect"
"234","Luxury",180,"PerfectTargeted",25228.1589000003,"CO2_Effect"
"235","CBDR_P",0,"Null",30706.615004915,"CO2_Effect"
