"","Tax","SP","value","Vari","Goal","PovertyRateLabel","TaxGDPShareLabel"
"79","Universal_C","Null",0.000394977752211492,"LocalGiniChg","1.5degree",NA,NA
"80","Universal_C","Universal",-0.0275571770869288,"LocalGiniChg","1.5degree",NA,NA
"81","Universal_C","Cash",-0.0218033606764202,"LocalGiniChg","1.5degree",NA,NA
"82","Universal_C","SP_current",-0.0187324069706285,"LocalGiniChg","1.5degree",NA,NA
"83","Universal_C","SP_covid",-0.025246914089489,"LocalGiniChg","1.5degree",NA,NA
"84","Universal_C","PerfectTargeted",-0.0744628150698702,"LocalGiniChg","1.5degree",NA,NA
"85","Luxury","Null",-0.00849130527031928,"LocalGiniChg","1.5degree",NA,NA
"86","Luxury","Universal",-0.0397811369912717,"LocalGiniChg","1.5degree",NA,NA
"87","Luxury","Cash",-0.0332500766971273,"LocalGiniChg","1.5degree",NA,NA
"88","Luxury","SP_current",-0.0310180245698135,"LocalGiniChg","1.5degree",NA,NA
"89","Luxury","SP_covid",-0.0377101701299427,"LocalGiniChg","1.5degree",NA,NA
"90","Luxury","PerfectTargeted",-0.0906274073041179,"LocalGiniChg","1.5degree",NA,NA
"91","CBDR_P","Null",-0.00108850365794163,"LocalGiniChg","1.5degree",NA,NA
"92","CBDR_P","Universal",-0.012475906276767,"LocalGiniChg","1.5degree",NA,NA
"93","CBDR_P","Cash",-0.00707551256029245,"LocalGiniChg","1.5degree",NA,NA
"94","CBDR_P","SP_current",-0.00104139976614557,"LocalGiniChg","1.5degree",NA,NA
"95","CBDR_P","SP_covid",-0.00752653703607427,"LocalGiniChg","1.5degree",NA,NA
"96","CBDR_P","PerfectTargeted",-0.0349883470987954,"LocalGiniChg","1.5degree",NA,NA
"97","CBDR_C","Null",-0.00225543315989883,"LocalGiniChg","1.5degree",NA,NA
"98","CBDR_C","Universal",-0.0145838568605581,"LocalGiniChg","1.5degree",NA,NA
"99","CBDR_C","Cash",-0.00969743081696393,"LocalGiniChg","1.5degree",NA,NA
"100","CBDR_C","SP_current",-0.00320345427794159,"LocalGiniChg","1.5degree",NA,NA
"101","CBDR_C","SP_covid",-0.00964385223796525,"LocalGiniChg","1.5degree",NA,NA
"102","CBDR_C","PerfectTargeted",-0.0389492375161688,"LocalGiniChg","1.5degree",NA,NA
"103","Luxury&CBDR_C","Null",-0.00503317997284022,"LocalGiniChg","1.5degree",NA,NA
"104","Luxury&CBDR_C","Universal",-0.0183862198711364,"LocalGiniChg","1.5degree",NA,NA
"105","Luxury&CBDR_C","Cash",-0.0135957980121082,"LocalGiniChg","1.5degree",NA,NA
"106","Luxury&CBDR_C","SP_current",-0.00712629688863312,"LocalGiniChg","1.5degree",NA,NA
"107","Luxury&CBDR_C","SP_covid",-0.013532134720984,"LocalGiniChg","1.5degree",NA,NA
"108","Luxury&CBDR_C","PerfectTargeted",-0.0442465165001316,"LocalGiniChg","1.5degree",NA,NA
"109","Universal_P","Null",0.0112616452169593,"InterGiniChg","1.5degree",NA,NA
"110","Universal_P","Universal",0.00852367846131197,"InterGiniChg","1.5degree",NA,NA
"111","Universal_P","Cash",0.00852367846131197,"InterGiniChg","1.5degree",NA,NA
"112","Universal_P","SP_current",0.00852367846131197,"InterGiniChg","1.5degree",NA,NA
"113","Universal_P","SP_covid",0.00852367846131197,"InterGiniChg","1.5degree",NA,NA
"114","Universal_P","PerfectTargeted",0.00863454761017115,"InterGiniChg","1.5degree",NA,NA
"115","Universal_C","Null",0.0112616452169593,"InterGiniChg","1.5degree",NA,NA
"116","Universal_C","Universal",0.00819726866660217,"InterGiniChg","1.5degree",NA,NA
"117","Universal_C","Cash",0.00819726866660217,"InterGiniChg","1.5degree",NA,NA
"118","Universal_C","SP_current",0.00819726866660217,"InterGiniChg","1.5degree",NA,NA
"119","Universal_C","SP_covid",0.00819726866660217,"InterGiniChg","1.5degree",NA,NA
"120","Universal_C","PerfectTargeted",0.00819726866660217,"InterGiniChg","1.5degree",NA,NA
"121","Luxury","Null",0.0118698301399468,"InterGiniChg","1.5degree",NA,NA
"122","Luxury","Universal",0.00873526721818311,"InterGiniChg","1.5degree",NA,NA
"123","Luxury","Cash",0.00873526721818311,"InterGiniChg","1.5degree",NA,NA
"124","Luxury","SP_current",0.00873526721818311,"InterGiniChg","1.5degree",NA,NA
"125","Luxury","SP_covid",0.00873526721818311,"InterGiniChg","1.5degree",NA,NA
"126","Luxury","PerfectTargeted",0.00883870660632023,"InterGiniChg","1.5degree",NA,NA
"127","CBDR_P","Null",-0.00686355135579424,"InterGiniChg","1.5degree",NA,NA
"128","CBDR_P","Universal",-0.00449438790183248,"InterGiniChg","1.5degree",NA,NA
"129","CBDR_P","Cash",-0.00449438790183248,"InterGiniChg","1.5degree",NA,NA
"130","CBDR_P","SP_current",-0.00449438790183248,"InterGiniChg","1.5degree",NA,NA
"131","CBDR_P","SP_covid",-0.00449438790183248,"InterGiniChg","1.5degree",NA,NA
"132","CBDR_P","PerfectTargeted",-0.00449438790183248,"InterGiniChg","1.5degree",NA,NA
"133","CBDR_C","Null",-0.0139043725754581,"InterGiniChg","1.5degree",NA,NA
"134","CBDR_C","Universal",-0.00989079326893154,"InterGiniChg","1.5degree",NA,NA
"135","CBDR_C","Cash",-0.00989079326893154,"InterGiniChg","1.5degree",NA,NA
"136","CBDR_C","SP_current",-0.00989079326893154,"InterGiniChg","1.5degree",NA,NA
"137","CBDR_C","SP_covid",-0.00989079326893154,"InterGiniChg","1.5degree",NA,NA
"138","CBDR_C","PerfectTargeted",-0.00989079326893154,"InterGiniChg","1.5degree",NA,NA
"139","Luxury&CBDR_C","Null",-0.0144700827514045,"InterGiniChg","1.5degree",NA,NA
"140","Luxury&CBDR_C","Universal",-0.0102402017436175,"InterGiniChg","1.5degree",NA,NA
"141","Luxury&CBDR_C","Cash",-0.0102402017436175,"InterGiniChg","1.5degree",NA,NA
"142","Luxury&CBDR_C","SP_current",-0.0102402017436175,"InterGiniChg","1.5degree",NA,NA
"143","Luxury&CBDR_C","SP_covid",-0.0102402017436175,"InterGiniChg","1.5degree",NA,NA
"144","Luxury&CBDR_C","PerfectTargeted",-0.0103337544500435,"InterGiniChg","1.5degree",NA,NA
