"","Pop","PPop_npl_ori","PR_npl_ori","PPop_ipl_ori","PR_ipl_ori","Gini_ori","PPop_npl_tax","PR_npl_tax","PPop_ipl_tax","PR_ipl_tax","Gini_tax","CO2_ori","CO2_tax","IPL_Change_rate","NPL_Change_rate"
"Djibouti",944100,211417.084539508,0.223935054061549,178520.302913852,0.189090459605817,0.312105649511618,139134.915803121,0.147373070440759,92142.0194768337,0.0975977327368221,0.293102580561722,1.43373028805474,1.42891428397331,-0.483856917264484,-0.341893697445629
"Denmark",5764980,638777.460592575,0.110803066201891,9292.91051673094,0.00161195884751221,0.141137043436777,638777.460592575,0.110803066201891,5959.83121610509,0.00103379911397873,0.144999387426408,50.7414364439255,49.8458253419609,-0.358669040730024,0
"Dominican Republic",10513111,2163594.90165543,0.205799682097471,98992.8149534611,0.00941612953135005,0.450854028390314,2043474.26013389,0.194373888008401,72006.7242910843,0.00684923085955093,0.449592967738046,29.0986787043659,28.865969588598,-0.27260655912314,-0.0555190074766905
"Algeria",41389174,2330945.17201556,0.056317750434342,0,0,0.283082882454535,1642659.40438469,0.0396881417441357,0,0,0.283494472048385,155.582710182195,150.568351715898,NA,-0.295281834980145
"Ecuador",16785356,5692681.27471989,0.339145697876166,537271.388300043,0.0320083403831317,0.460369881507598,5366277.08597862,0.319699926887378,299075.25020711,0.0178176292601188,0.452267322603539,40.5717518490772,40.6613171375182,-0.443344170711562,-0.0573375133771801
"Egypt, Arab Rep.",96442590,29244304.1540833,0.303230182371536,2630304.52618148,0.0272732671963858,0.329355705754106,25277491.6221853,0.262098846808089,2040352.42340101,0.0211561346849043,0.323009255739158,218.113558403137,212.720460927441,-0.224290418431866,-0.135643936371251
"Eritrea",3213969,2417586.31499685,0.752212082629561,2417586.31499685,0.752212082629561,0.385430627513374,1225165.2733231,0.38120009039387,1225165.2733231,0.38120009039387,0.326247504237336,1.07169889965653,1.32885292215194,-0.493227908462621,-0.493227908462621
"Spain",46593236,9322909.42182438,0.200091477265592,305242.489490027,0.00655121892564035,0.207901207688901,9322909.42182438,0.200091477265592,259544.482378617,0.00557043263487037,0.207848159363095,278.123259050342,272.662667714585,-0.149710504549214,0
"Estonia",1317384,193225.537841832,0.146673663747117,3609.43971606109,0.00273985391963246,0.27644652919603,193225.537841832,0.146673663747117,3249.38843358508,0.00246654615023796,0.275559625503208,15.0151330779031,14.550524044525,-0.099752679307502,0
"Ethiopia",106399926,24989403.057065,0.234862974031251,28466471.4629731,0.267542211100533,0.320765589276437,17995037.6189709,0.169126411036892,20847470.9366773,0.195935013495003,0.306794093954258,30.770367944034,31.0809642154086,-0.267648223848396,-0.279893258039096
"Finland",5508214,718615.936697671,0.130462603068376,3357.09757377465,0.000609471159576343,0.176016314593189,718615.936697671,0.130462603068376,2514.76013509944,0.000456547282857827,0.175699606713892,53.3295043001434,52.4888593684141,-0.250912408759124,0
