"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"CIV",385.182503734362,405.594360345486,230.315972094848,385.182503734362,405.594360345486,230.315972094848
"CMR",872.919466108664,407.728680964479,577.791661645626,872.919466108664,407.728680964479,577.791661645626
"COD",7844.33195622373,1350.99391500503,5939.7709364121,7844.33195622373,1350.99391500503,5939.7709364121
"COG",250.143432778948,84.8234730884444,168.553297554939,250.143432778948,84.8234730884444,168.553297554939
"COL",290.783730069814,811.767864387687,221.992108612648,290.783730069814,811.767864387687,221.992108612648
"COM",20.9307131920504,13.508318430672,11.4556428636376,20.9307131920504,13.508318430672,11.4556428636376
"CPV",3.41854154593452,8.92099380526581,3.27893473513308,3.41854154593452,8.92099380526581,3.27893473513308
"CRI",15.0566828151081,82.1555349709386,17.9628868485046,15.0566828151081,82.1555349709386,17.9628868485046
"CYP",-27.709024760353,-27.709024760353,-27.709024760353,-57.935238764442,-57.935238764442,-57.935238764442
"CZE",-1110.02890082872,-1110.02890082872,-1110.02890082872,-801.568663375649,-801.568663375649,-801.568663375649
"DEU",-8552.568554246,-8552.568554246,-8552.568554246,-5763.61165231203,-5763.61165231203,-5763.61165231203
"DJI",24.9319779944466,15.6694435739442,27.5966929546956,24.9319779944466,15.6694435739442,27.5966929546956
"DNK",-378.092507974551,-378.092507974551,-378.092507974551,-260.787294473996,-260.787294473996,-260.787294473996
"DOM",15.9892946225798,174.488507150845,10.8363002970402,15.9892946225798,174.488507150845,10.8363002970402
"DZA",28.612916907937,686.945584752844,14.5623799105771,28.612916907937,686.945584752844,14.5623799105771
"ECU",150.851378538645,278.590391601066,126.932444320584,150.851378538645,278.590391601066,126.932444320584
"EGY",333.360580481292,1600.67971838792,238.820342749473,333.360580481292,1600.67971838792,238.820342749473
"ERI",204.411292929766,53.3429783856646,85.286486661707,204.411292929766,53.3429783856646,85.286486661707
"ESP",-1387.69405146516,-1387.69405146516,-1387.69405146516,-2073.78248408012,-2073.78248408012,-2073.78248408012
