"","Universal_P","Universal_C","Luxury","CBDR_P","CBDR_C","Luxury&CBDR","Null"
"CZE",5297.46,4542.83420242301,4542.83420242301,11415.6172611063,9338.63058801852,9338.63058801852,0
"DEU",37200.24,46253.7114803326,46253.7114803326,80163.6448149296,95083.0044841238,95083.0044841238,0
"DJI",40.6385542437219,78.8838058852683,78.8838058852683,4.70975850622841,9.60123691397237,9.60123691397236,0
"DNK",2090.82,3042.26796630472,3042.26796630472,4505.55565910196,6253.94091466706,6253.94091466706,0
"DOM",1240.62,1745.92072226195,1745.92072226195,552.909758288882,577.102451837964,577.102451837964,0
"DZA",6200.7,9334.96261093171,9334.96261093171,718.622995159383,1136.19248722592,1136.19248722592,0
"ECU",1576.5,2434.30511094463,2434.30511094463,702.60211341299,804.643320933706,804.643320933706,0
"EGY",11293.2,13086.8135041882,13086.8135041882,1308.81242584449,1592.84400001483,1592.84400001483,0
"ERI",69.6660979325981,135.229391113197,135.229391113197,2.95207825673951,6.04030866492588,6.04030866492588,0
"ESP",14602.2,16684.0671618052,16684.0671618052,31466.6135034765,34297.1662594877,34297.1662594877,0
"EST",1089.9,896.530215984804,896.530215984804,2348.65034429326,1842.98262384592,1842.98262384592,0
"ETH",762.48,1849.49131592388,1849.49131592388,32.3098421756948,82.6114672950704,82.6114672950704,0
"FIN",2629.86,3198.89993529003,3198.89993529003,5667.14523758424,6575.92671283853,6575.92671283853,0
"FJI",192.333901041393,243.619994491069,243.619994491069,85.7178594054216,80.5269645665233,80.5269645665233,0
"FRA",15645.6,26477.1283269958,26477.1283269958,33715.0599382279,54428.6032595012,54428.6032595012,0
"FSM",20.9818812505315,26.5767281118406,26.5767281118406,2.43167099655449,3.2347509116274,3.2347509116274,0
"GAB",145.5,231.115528006268,231.115528006268,64.8452949581922,76.3936965576787,76.3936965576787,0
"GBR",19360.2,34984.926841574,34984.926841574,41719.7361185304,71917.9466747995,71917.9466747995,0
"GEO",399.6,811.719109891429,811.719109891429,178.090583266623,268.30833871722,268.30833871722,0
"GHA",640.02,1432.72568661882,1432.72568661882,74.174381821715,174.382290453483,174.382290453483,0
"GIN",192.36,269.522239247772,269.522239247772,8.15119247838192,12.0387846437598,12.0387846437598,0
"GMB",137.978691257559,70.1486875616782,70.1486875616783,5.84680219565189,3.13334048037899,3.13334048037899,0
"GNB",79.2099868873117,40.270541568992,40.270541568992,3.35649744920246,1.7987694773899,1.7987694773899,0
"GRC",3746.34,4493.41141280237,4493.41141280237,8073.07342952528,9237.03296100181,9237.03296100181,0
"GTM",704.4,1306.67842815137,1306.67842815137,313.931448581104,431.913840665666,431.913840665666,0
"GUY",134.125473618505,154.537221456198,154.537221456198,59.7759855546334,51.081248000227,51.081248000227,0
"HND",465.66,720.045999899715,720.045999899715,53.9671301507762,87.6394357043359,87.6394357043359,0
"HRV",890.58,1317.28531360477,1317.28531360477,1919.13113461849,2707.92205364126,2707.92205364126,0
"HTI",133.56,386.568850144651,386.568850144651,15.4787825944631,47.050710499426,47.050710499426,0
"HUN",2349.24,2769.72730510903,2769.72730510903,5062.43080542022,5693.68349788452,5693.68349788452,0
"IDN",25750.92,30279.884841061,30279.884841061,2984.37325761763,3685.47567937668,3685.47567937668,0
"IND",121834.08,119397.529026753,119397.529026753,14119.820581884,14532.3105327355,14532.3105327355,0
"IRL",2850.9,3229.27203014766,3229.27203014766,6143.46937016758,6638.36213562116,6638.36213562116,0
"IRN",25517.34,31942.121564737,31942.121564737,2957.30277215481,3887.79259869889,3887.79259869889,0
"IRQ",7632.78,9775.17495755587,9775.17495755587,3401.71732268722,3231.11889515918,3231.11889515918,0
"ISL",203.904262235429,290.788009327311,290.788009327311,439.397940822189,597.768194376243,597.768194376243,0
"ISR",3621.12,5081.47699568921,5081.47699568921,7803.23399828168,10445.9098416898,10445.9098416899,0
"ITA",16348.26,24067.3477008901,24067.3477008902,35229.2379829303,49474.8563115361,49474.8563115361,0
"JAM",462.18,627.679585408387,627.679585408387,205.9807451806,207.475301191521,207.475301191521,0
"JOR",1148.58,1970.60218016166,1970.60218016166,511.89009541636,651.369409428375,651.369409428375,0
"JPN",60122.76,72824.4044391645,72824.4044391645,129559.905471934,149703.947039731,149703.947039731,0
"KAZ",10968.12,10388.9908327038,10388.9908327038,4888.18540575152,3434.01163937612,3434.01163937612,0
"KEN",927.66,1876.31159324814,1876.31159324814,107.510088810869,228.372755713764,228.372755713764,0
"KGZ",242.16,947.336079167048,947.336079167049,28.0648546950822,115.303743666546,115.303743666546,0
"KHM",576.66,966.89184180129,966.89184180129,66.831347491188,117.6839471567,117.6839471567,0
"KIR",10.4909406252658,13.2883640559203,13.2883640559203,1.21583549827725,1.6173754558137,1.6173754558137,0
"KOR",32266.14,30779.1272988011,30779.1272988011,69531.0402972882,63272.1527701344,63272.1527701344,0
"LAO",991.02,596.228726501637,596.228726501637,114.853123141396,72.5691818975397,72.5691818975397,0
"LBN",1420.62,2221.58854587665,2221.58854587665,164.641121064287,270.397678141345,270.397678141345,0
"LBR",327.060581192806,166.278360192651,166.278360192651,13.8590858255043,7.42717697383256,7.42717697383256,0
"LCA",42.6462674378166,50.4282721242603,50.4282721242603,19.006252858221,16.6687290630005,16.6687290630005,0
"LKA",1215.72,2304.07309307487,2304.07309307487,140.894471216986,280.437174467672,280.437174467672,0
"LSO",182.64,284.617241909518,284.617241909518,21.1668527482235,34.6418068792114,34.6418068792114,0
"LTU",627.42,1000.07366975555,1000.07366975555,1352.04165429533,2055.83522235301,2055.83522235301,0
"LUX",520.56,776.940686739468,776.940686739468,1121.76660539985,1597.14436824294,1597.14436824294,0
"LVA",510,775.190525237506,775.190525237506,1099.01062078132,1593.54658962987,1593.54658962987,0
"MAR",2905.08,3915.59637745467,3915.59637745467,336.680905507059,476.581575363051,476.581575363051,0
"MDA",402.12,564.668715390961,564.668715390961,179.213677034971,186.647478303671,186.647478303671,0
"MDG",285.6,388.640955616885,388.640955616885,12.1022071731435,17.3594757207233,17.3594757207233,0
"MDV",122.878302968593,168.933655237592,168.933655237592,54.7634350512752,55.8398931821236,55.8398931821236,0
"MEX",22072.14,27694.0295025139,27694.0295025139,9836.93765401039,9154.07677071818,9154.07677071818,0
"MHL",20.9818812505315,26.5767281118406,26.5767281118406,9.35103971455997,8.7847602469048,8.7847602469048,0
"MKD",620.91999234573,655.866897234539,655.866897234539,276.726735732627,216.792429144799,216.792429144799,0
"MLI",161.52,248.751124323155,248.751124323155,6.84435750212231,11.110998572799,11.110998572799,0
