"","Pop","PPop_ipl_ori","PPop_npl_ori","PPop_ipl_tax","PPop_npl_tax","Size","ChgrateIPL"
"S25",7371975398,717815457.61987,1442187232.31669,393979914.237405,841708796.66888,25,-0.4511403870519
"S26",7371975398,717815457.61987,1442187232.31669,393856316.067576,837685575.789818,26,-0.451312573605585
"S27",7371975398,717815457.61987,1442187232.31669,393127274.404646,836376420.038941,27,-0.452328213008708
"S28",7371975398,717815457.61987,1442187232.31669,392375726.958977,835979413.601515,28,-0.453375205571617
"S29",7371975398,717815457.61987,1442187232.31669,391734623.798249,834980540.167583,29,-0.454268336464693
"S30",7371975398,717815457.61987,1442187232.31669,389932423.948939,834871578.845937,30,-0.456779009410196
"S31",7371975398,717815457.61987,1442187232.31669,389379494.75973,834326980.348058,31,-0.457549303757217
"S32",7371975398,717815457.61987,1442187232.31669,389115862.857902,833753931.843791,32,-0.457916573504656
"S33",7371975398,717815457.61987,1442187232.31669,388368650.929166,833466465.266806,33,-0.45895752619076
"S34",7371975398,717815457.61987,1442187232.31669,387769478.009003,832866011.961299,34,-0.459792243406449
"S35",7371975398,717815457.61987,1442187232.31669,387337102.106214,832580295.310836,35,-0.460394593074737
"S36",7371975398,717815457.61987,1442187232.31669,386365540.702261,832182482.115142,36,-0.461748090542142
"S37",7371975398,717815457.61987,1442187232.31669,385591809.606039,831400484.10888,37,-0.462825987497423
"S38",7371975398,717815457.61987,1442187232.31669,385265769.223147,831212380.241053,38,-0.463280199481062
"S39",7371975398,717815457.61987,1442187232.31669,382174343.236176,830579253.103801,39,-0.467586913629043
"S40",7371975398,717815457.61987,1442187232.31669,381832980.784944,830258864.376198,40,-0.46806247102699
"S41",7371975398,717815457.61987,1442187232.31669,381285297.261407,830049332.814724,41,-0.468825457554687
"S42",7371975398,717815457.61987,1442187232.31669,381080584.446427,829839549.670994,42,-0.469110646195872
"S43",7371975398,717815457.61987,1442187232.31669,380450366.81114,827154035.3633,43,-0.469988612292307
"S44",7371975398,717815457.61987,1442187232.31669,379965948.810657,826837217.244592,44,-0.470663462625134
"S45",7371975398,717815457.61987,1442187232.31669,377825635.543463,826585924.376376,45,-0.473645166689143
"S46",7371975398,717815457.61987,1442187232.31669,377373171.306113,825978384.347845,46,-0.47427550173215
"S47",7371975398,717815457.61987,1442187232.31669,377153863.377586,825033882.984207,47,-0.474581023055492
"S48",7371975398,717815457.61987,1442187232.31669,376221786.477669,824870143.459675,48,-0.475879514039523
