"","Pop","PPop_ipl_ori","PPop_npl_ori","PPop_ipl_tax","PPop_npl_tax","Size","ChgrateIPL"
"S280",7371975398,717815457.61987,1442187232.31669,312473014.201129,743759445.187197,280,-0.564688931000141
"S281",7371975398,717815457.61987,1442187232.31669,312457461.191467,743637112.38309,281,-0.564710598142435
"S282",7371975398,717815457.61987,1442187232.31669,312134108.036117,743625172.244995,282,-0.565161066507135
"S283",7371975398,717815457.61987,1442187232.31669,312134108.036117,743618525.009376,283,-0.565161066507135
"S284",7371975398,717815457.61987,1442187232.31669,312178403.557038,743616453.108527,284,-0.565099357720495
"S285",7371975398,717815457.61987,1442187232.31669,311809904.140974,743722955.136913,285,-0.565612720050816
"S286",7371975398,717815457.61987,1442187232.31669,311809904.140974,743713794.051676,286,-0.565612720050816
"S287",7371975398,717815457.61987,1442187232.31669,311781568.088294,743639420.190284,287,-0.565652195451323
"S288",7371975398,717815457.61987,1442187232.31669,311690795.640436,743583063.927258,288,-0.565778651975622
"S289",7371975398,717815457.61987,1442187232.31669,311690795.640436,743576909.050451,289,-0.565778651975622
"S290",7371975398,717815457.61987,1442187232.31669,311715845.594711,743537994.486261,290,-0.565743754490468
"S291",7371975398,717815457.61987,1442187232.31669,311690794.169127,743557554.097256,291,-0.565778654025325
"S292",7371975398,717815457.61987,1442187232.31669,311685500.125153,743557302.565396,292,-0.565786029241222
"S293",7371975398,717815457.61987,1442187232.31669,311684591.714333,743491390.801769,293,-0.565787294762618
"S294",7371975398,717815457.61987,1442187232.31669,311674885.792951,743485893.363452,294,-0.565800816234299
"S295",7371975398,717815457.61987,1442187232.31669,311652664.873929,743485893.363452,295,-0.56583177254596
"S296",7371975398,717815457.61987,1442187232.31669,311652664.873929,743477574.928176,296,-0.56583177254596
"S297",7371975398,717815457.61987,1442187232.31669,311652664.873929,743455473.613953,297,-0.56583177254596
"S298",7371975398,717815457.61987,1442187232.31669,311591704.104683,743423627.99095,298,-0.565916697952065
"S299",7371975398,717815457.61987,1442187232.31669,311416174.890088,743387425.013034,299,-0.566161230460708
"S300",7371975398,717815457.61987,1442187232.31669,311379524.468694,743354084.679794,300,-0.566212288738995
"S301",7371975398,717815457.61987,1442187232.31669,311379524.468694,743314717.513676,301,-0.566212288738995
"S302",7371975398,717815457.61987,1442187232.31669,311372614.008295,743307045.590442,302,-0.566221915810029
"S303",7371975398,717815457.61987,1442187232.31669,311372614.008295,743298470.66336,303,-0.566221915810029
"S304",7371975398,717815457.61987,1442187232.31669,311367830.434901,743298470.66336,304,-0.566228579881334
"S305",7371975398,717815457.61987,1442187232.31669,311359552.285842,743244010.019439,305,-0.566240112300942
"S306",7371975398,717815457.61987,1442187232.31669,311341589.008825,743248420.357743,306,-0.566265137224587
"S307",7371975398,717815457.61987,1442187232.31669,311293726.668515,745626446.03848,307,-0.566331815003397
"S308",7371975398,717815457.61987,1442187232.31669,311293726.668515,744735063.674778,308,-0.566331815003397
"S309",7371975398,717815457.61987,1442187232.31669,311276380.357643,744734749.151601,309,-0.566355980421803
"S310",7371975398,717815457.61987,1442187232.31669,311252333.696271,744688848.667104,310,-0.566389480203839
"S311",7371975398,717815457.61987,1442187232.31669,311164247.856498,744686582.97129,311,-0.566512193972174
"S312",7371975398,717815457.61987,1442187232.31669,311150941.59065,744643311.742796,312,-0.566530731140337
"S313",7371975398,717815457.61987,1442187232.31669,311150941.59065,744621230.006171,313,-0.566530731140337
"S314",7371975398,717815457.61987,1442187232.31669,311150941.59065,744039201.79924,314,-0.566530731140337
"S315",7371975398,717815457.61987,1442187232.31669,311134192.227243,743998255.086515,315,-0.566554064941843
"S316",7371975398,717815457.61987,1442187232.31669,311130890.726664,743998255.086515,316,-0.566558664314209
"S317",7371975398,717815457.61987,1442187232.31669,311092865.750071,743800081.439809,317,-0.566611637506955
"S318",7371975398,717815457.61987,1442187232.31669,311078916.557975,743797778.602782,318,-0.566631070345782
"S319",7371975398,717815457.61987,1442187232.31669,311078916.557975,743470854.084532,319,-0.566631070345782
"S320",7371975398,717815457.61987,1442187232.31669,311084120.338894,743451976.568884,320,-0.566623820876767
"S321",7371975398,717815457.61987,1442187232.31669,311070867.136967,743451976.568884,321,-0.566642284120748
"S322",7371975398,717815457.61987,1442187232.31669,311070867.136967,743484859.721612,322,-0.566642284120748
"S323",7371975398,717815457.61987,1442187232.31669,311060823.059317,743470805.763137,323,-0.566656276683241
"S324",7371975398,717815457.61987,1442187232.31669,311111694.493884,743438725.620236,324,-0.566585406887911
"S325",7371975398,717815457.61987,1442187232.31669,311080277.954458,743464516.010255,325,-0.566629173762937
"S326",7371975398,717815457.61987,1442187232.31669,310813828.666712,743464516.010255,326,-0.567000368454996
"S327",7371975398,717815457.61987,1442187232.31669,310813828.666712,743446699.881182,327,-0.567000368454996
"S328",7371975398,717815457.61987,1442187232.31669,310805261.282181,743445286.083676,328,-0.567012303813089
"S329",7371975398,717815457.61987,1442187232.31669,310821619.603051,743416044.291481,329,-0.566989514779088
"S330",7371975398,717815457.61987,1442187232.31669,310812316.905085,743416044.291481,330,-0.567002474513888
"S331",7371975398,717815457.61987,1442187232.31669,310812316.905085,743435879.336407,331,-0.567002474513888
"S332",7371975398,717815457.61987,1442187232.31669,310495354.337682,743434749.582214,332,-0.567444040050041
"S333",7371975398,717815457.61987,1442187232.31669,310469220.66353,742301373.268271,333,-0.567480447282394
"S334",7371975398,717815457.61987,1442187232.31669,310462439.842597,742301373.268271,334,-0.567489893750647
"S335",7371975398,717815457.61987,1442187232.31669,310461357.048472,742247031.798343,335,-0.567491402208168
"S336",7371975398,717815457.61987,1442187232.31669,310451734.890922,742343481.071536,336,-0.567504806987137
"S337",7371975398,717815457.61987,1442187232.31669,310445550.855429,742320925.012729,337,-0.567513422064212
"S338",7371975398,717815457.61987,1442187232.31669,310432951.376014,742320717.570901,338,-0.567530974597082
"S339",7371975398,717815457.61987,1442187232.31669,310432094.129948,744095736.833912,339,-0.567532168840056
"S340",7371975398,717815457.61987,1442187232.31669,310428319.445409,745238843.067075,340,-0.567537427412436
"S341",7371975398,717815457.61987,1442187232.31669,310406490.454243,745125103.066819,341,-0.567567837723239
"S342",7371975398,717815457.61987,1442187232.31669,310401183.120872,745125103.066819,342,-0.567575231452803
"S343",7371975398,717815457.61987,1442187232.31669,310395700.464406,745125103.066819,343,-0.567582869427729
"S344",7371975398,717815457.61987,1442187232.31669,310373786.979954,745135651.224664,344,-0.567613397447457
"S345",7371975398,717815457.61987,1442187232.31669,310296417.298756,745125348.666265,345,-0.567721182366794
"S346",7371975398,717815457.61987,1442187232.31669,309486624.817976,745125348.666265,346,-0.568849317003885
"S347",7371975398,717815457.61987,1442187232.31669,309486624.817976,745097964.449755,347,-0.568849317003885
"S348",7371975398,717815457.61987,1442187232.31669,309486517.89099,746025830.13053,348,-0.568849465965551
"S349",7371975398,717815457.61987,1442187232.31669,309325433.302139,744327868.620165,349,-0.569073875438962
"S350",7371975398,717815457.61987,1442187232.31669,309325427.923139,744327868.620165,350,-0.56907388293253
"S351",7371975398,717815457.61987,1442187232.31669,309286031.631337,744304171.327793,351,-0.569128766526055
"S352",7371975398,717815457.61987,1442187232.31669,309286031.631337,744297189.482084,352,-0.569128766526055
"S353",7371975398,717815457.61987,1442187232.31669,309285698.837449,744297189.482084,353,-0.569129230146454
"S354",7371975398,717815457.61987,1442187232.31669,309282846.699102,744283883.216236,354,-0.569133203505228
"S355",7371975398,717815457.61987,1442187232.31669,309284356.052349,744283384.936865,355,-0.569131100801488
"S356",7371975398,717815457.61987,1442187232.31669,309266768.939681,744271739.023126,356,-0.569155601684663
"S357",7371975398,717815457.61987,1442187232.31669,309266768.939681,744319685.950194,357,-0.569155601684663
"S358",7371975398,717815457.61987,1442187232.31669,309266768.939681,744319249.454256,358,-0.569155601684663
"S359",7371975398,717815457.61987,1442187232.31669,309266256.553329,744295909.647847,359,-0.569156315498146
"S360",7371975398,717815457.61987,1442187232.31669,309266537.035767,744315212.05627,360,-0.569155924753652
"S361",7371975398,717815457.61987,1442187232.31669,309266537.035767,744308298.403238,361,-0.569155924753652
"S362",7371975398,717815457.61987,1442187232.31669,309266067.143977,737301736.347041,362,-0.569156579367293
"S363",7371975398,717815457.61987,1442187232.31669,309248174.572235,737290917.59319,363,-0.569181505790305
"S364",7371975398,717815457.61987,1442187232.31669,309248174.572235,736801622.689339,364,-0.569181505790305
"S365",7371975398,717815457.61987,1442187232.31669,309247747.99221,736803948.033679,365,-0.569182100065645
"S366",7371975398,717815457.61987,1442187232.31669,309325407.069228,736449202.320825,366,-0.569073911984442
"S367",7371975398,717815457.61987,1442187232.31669,309325707.730259,736449202.320825,367,-0.569073493128833
"S368",7371975398,717815457.61987,1442187232.31669,309110279.741685,737195300.171455,368,-0.569373609246823
"S369",7371975398,717815457.61987,1442187232.31669,309175247.206032,737195300.171455,369,-0.569283102050777
"S370",7371975398,717815457.61987,1442187232.31669,309175247.206032,737186732.786924,370,-0.569283102050777
"S371",7371975398,717815457.61987,1442187232.31669,309173243.657401,737139128.669199,371,-0.569285893225877
"S372",7371975398,717815457.61987,1442187232.31669,308910579.285248,737147357.238144,372,-0.569651815092513
"S373",7371975398,717815457.61987,1442187232.31669,308910579.285248,737147357.238144,373,-0.569651815092513
"S374",7371975398,717815457.61987,1442187232.31669,308910579.285248,737140053.91147,374,-0.569651815092513
"S375",7371975398,717815457.61987,1442187232.31669,308897109.666944,737214640.580726,375,-0.569670579829551
"S376",7371975398,717815457.61987,1442187232.31669,308897433.533357,737207859.759793,376,-0.56967012864616
"S377",7371975398,717815457.61987,1442187232.31669,308878615.509799,737207859.759793,377,-0.569696344330648
"S378",7371975398,717815457.61987,1442187232.31669,308876512.371012,737201527.716798,378,-0.569699274246359
"S379",7371975398,717815457.61987,1442187232.31669,308864969.068242,737164798.690665,379,-0.569715355402939
"S380",7371975398,717815457.61987,1442187232.31669,308865307.059669,737158843.834842,380,-0.569714884541768
"S381",7371975398,717815457.61987,1442187232.31669,308861352.976195,737083576.91214,381,-0.569720393037625
"S382",7371975398,717815457.61987,1442187232.31669,307384022.546081,737077949.023099,382,-0.571778485287425
"S383",7371975398,717815457.61987,1442187232.31669,307384022.546081,737056241.809278,383,-0.571778485287425
"S384",7371975398,717815457.61987,1442187232.31669,307384022.546081,737050934.475907,384,-0.571778485287425
"S385",7371975398,717815457.61987,1442187232.31669,307384375.671452,737045943.42413,385,-0.571777993342918
"S386",7371975398,717815457.61987,1442187232.31669,307382475.792768,733363917.599776,386,-0.571780640093784
"S387",7371975398,717815457.61987,1442187232.31669,307373772.660676,733359542.726971,387,-0.571792764563939
"S388",7371975398,717815457.61987,1442187232.31669,307373772.660676,733025450.914996,388,-0.571792764563939
"S389",7371975398,717815457.61987,1442187232.31669,307373772.660676,733021301.796437,389,-0.571792764563939
"S390",7371975398,717815457.61987,1442187232.31669,307373347.359867,733018479.756438,390,-0.571793357057183
"S391",7371975398,717815457.61987,1442187232.31669,307375367.465737,733010752.54353,391,-0.571790542815933
"S392",7371975398,717815457.61987,1442187232.31669,307366202.105703,732479338.598383,392,-0.571803311223101
"S393",7371975398,717815457.61987,1442187232.31669,307366202.105703,732439942.306581,393,-0.571803311223101
"S394",7371975398,717815457.61987,1442187232.31669,307360744.072019,731976561.299053,394,-0.571810914895641
"S395",7371975398,717815457.61987,1442187232.31669,307361131.500998,731962086.784499,395,-0.571810375162238
"S396",7371975398,717815457.61987,1442187232.31669,307361131.500998,731962086.784499,396,-0.571810375162238
"S397",7371975398,717815457.61987,1442187232.31669,307226388.759087,734357098.118076,397,-0.571998087394513
"S398",7371975398,717815457.61987,1442187232.31669,307226388.759087,734357098.118076,398,-0.571998087394513
"S399",7371975398,717815457.61987,1442187232.31669,307229582.104686,734347264.1039,399,-0.571993638694552
"S400",7371975398,717815457.61987,1442187232.31669,307229582.104686,734344120.604839,400,-0.571993638694552
"S401",7371975398,717815457.61987,1442187232.31669,307228763.484515,734344120.604839,401,-0.571994779127182
"S402",7371975398,717815457.61987,1442187232.31669,307222800.838783,734344120.604839,402,-0.5720030857827
"S403",7371975398,717815457.61987,1442187232.31669,307222800.838783,734373120.137569,403,-0.5720030857827
"S404",7371975398,717815457.61987,1442187232.31669,307222800.838783,734373120.137569,404,-0.5720030857827
"S405",7371975398,717815457.61987,1442187232.31669,307222800.838783,734373120.137569,405,-0.5720030857827
"S406",7371975398,717815457.61987,1442187232.31669,307215758.889096,733304775.5322,406,-0.572012896033528
"S407",7371975398,717815457.61987,1442187232.31669,307211542.009119,733304775.5322,407,-0.572018770635324
"S408",7371975398,717815457.61987,1442187232.31669,307195485.09554,733465986.41697,408,-0.572041139774089
"S409",7371975398,717815457.61987,1442187232.31669,307015583.328005,733676817.47082,409,-0.572291763754982
"S410",7371975398,717815457.61987,1442187232.31669,307080843.673853,733096358.812141,410,-0.572200848541113
"S411",7371975398,717815457.61987,1442187232.31669,307075532.646246,733096358.812141,411,-0.572208247417176
"S412",7371975398,717815457.61987,1442187232.31669,307076131.015572,733230210.297365,412,-0.572207413819459
"S413",7371975398,717815457.61987,1442187232.31669,307144316.060853,733230210.297365,413,-0.572112424160827
"S414",7371975398,717815457.61987,1442187232.31669,307143037.100019,733230210.297365,414,-0.572114205901273
"S415",7371975398,717815457.61987,1442187232.31669,307138039.742538,733230210.297365,415,-0.572121167798552
"S416",7371975398,717815457.61987,1442187232.31669,307138039.742538,732936497.112064,416,-0.572121167798552
"S417",7371975398,717815457.61987,1442187232.31669,307138039.742538,732885756.863401,417,-0.572121167798552
"S418",7371975398,717815457.61987,1442187232.31669,307138039.742538,732884729.527887,418,-0.572121167798552
"S419",7371975398,717815457.61987,1442187232.31669,307133818.220584,732884729.527887,419,-0.57212704886716
"S420",7371975398,717815457.61987,1442187232.31669,307127544.479066,733374370.278639,420,-0.572135788915109
"S421",7371975398,717815457.61987,1442187232.31669,307127544.479066,733407305.625787,421,-0.572135788915109
"S422",7371975398,717815457.61987,1442187232.31669,307123169.606261,733407305.625787,422,-0.572141883619198
"S423",7371975398,717815457.61987,1442187232.31669,307123169.606261,733533209.942775,423,-0.572141883619198
"S424",7371975398,717815457.61987,1442187232.31669,307123169.606261,733533209.942775,424,-0.572141883619198
"S425",7371975398,717815457.61987,1442187232.31669,306914654.901498,733533209.942775,425,-0.572432368732815
"S426",7371975398,717815457.61987,1442187232.31669,306913517.200882,733533209.942775,426,-0.572433953681432
"S427",7371975398,717815457.61987,1442187232.31669,306913517.200882,733525405.595387,427,-0.572433953681432
"S428",7371975398,717815457.61987,1442187232.31669,306320668.040008,733525405.595387,428,-0.573259861168628
"S429",7371975398,717815457.61987,1442187232.31669,306316910.796305,733525405.595387,429,-0.573265095443905
"S430",7371975398,717815457.61987,1442187232.31669,306316000.302417,732673557.062619,430,-0.573266363867256
"S431",7371975398,717815457.61987,1442187232.31669,306316000.302417,732673557.062619,431,-0.573266363867256
"S432",7371975398,717815457.61987,1442187232.31669,306316000.302417,733766548.891737,432,-0.573266363867256
"S433",7371975398,717815457.61987,1442187232.31669,306313071.50984,733765665.855116,433,-0.573270444014242
"S434",7371975398,717815457.61987,1442187232.31669,306312268.678838,733934725.592748,434,-0.573271562450734
"S435",7371975398,717815457.61987,1442187232.31669,306312268.678838,733948556.960822,435,-0.573271562450734
"S436",7371975398,717815457.61987,1442187232.31669,306309125.179777,733882079.328939,436,-0.5732759417087
"S437",7371975398,717815457.61987,1442187232.31669,306295469.316403,733875984.802177,437,-0.573294965906673
"S438",7371975398,717815457.61987,1442187232.31669,306294763.010747,733875984.802177,438,-0.573295949872188
"S439",7371975398,717815457.61987,1442187232.31669,306290944.739879,733875984.802177,439,-0.573301269165367
"S440",7371975398,717815457.61987,1442187232.31669,306290944.739879,733853646.609618,440,-0.573301269165367
"S441",7371975398,717815457.61987,1442187232.31669,306291515.794052,733853646.609618,441,-0.573300473620821
"S442",7371975398,717815457.61987,1442187232.31669,306291515.794052,733853646.609618,442,-0.573300473620821
"S443",7371975398,717815457.61987,1442187232.31669,306290893.948074,733848635.167864,443,-0.573301339924231
"S444",7371975398,717815457.61987,1442187232.31669,306290893.948074,734042124.052371,444,-0.573301339924231
"S445",7371975398,717815457.61987,1442187232.31669,306286083.795487,734042124.052371,445,-0.573308041023427
"S446",7371975398,717815457.61987,1442187232.31669,306155668.987373,734037400.568972,446,-0.573489723943082
"S447",7371975398,717815457.61987,1442187232.31669,306155119.535404,734019866.471942,447,-0.573490489393259
"S448",7371975398,717815457.61987,1442187232.31669,306155119.535404,734019866.471942,448,-0.573490489393259
"S449",7371975398,717815457.61987,1442187232.31669,306002256.053739,732398859.773068,449,-0.573703445912992
"S450",7371975398,717815457.61987,1442187232.31669,306002089.2453,731296020.938394,450,-0.573703678296452
"S451",7371975398,717815457.61987,1442187232.31669,306002089.2453,733208283.771394,451,-0.573703678296452
"S452",7371975398,717815457.61987,1442187232.31669,306002089.2453,733208283.771394,452,-0.573703678296452
"S453",7371975398,717815457.61987,1442187232.31669,306002647.136422,733208283.771394,453,-0.573702901089558
"S454",7371975398,717815457.61987,1442187232.31669,306002647.136422,733208283.771394,454,-0.573702901089558
"S455",7371975398,717815457.61987,1442187232.31669,306002647.136422,733204557.221496,455,-0.573702901089558
"S456",7371975398,717815457.61987,1442187232.31669,306075556.993217,733415116.764591,456,-0.573601329221718
"S457",7371975398,717815457.61987,1442187232.31669,306076276.360046,733619944.918326,457,-0.573600327060478
"S458",7371975398,717815457.61987,1442187232.31669,306076276.360046,733619241.87718,458,-0.573600327060478
"S459",7371975398,717815457.61987,1442187232.31669,306077070.812774,733068344.131889,459,-0.573599220295892
"S460",7371975398,717815457.61987,1442187232.31669,306078518.38567,733239424.97413,460,-0.573597203659331
"S461",7371975398,717815457.61987,1442187232.31669,306078518.38567,733239424.97413,461,-0.573597203659331
"S462",7371975398,717815457.61987,1442187232.31669,306072546.379855,733125418.6675,462,-0.573605523354527
"S463",7371975398,717815457.61987,1442187232.31669,306080165.534024,733991894.070715,463,-0.57359490899106
"S464",7371975398,717815457.61987,1442187232.31669,306081197.534032,733988827.755443,464,-0.573593471295624
"S465",7371975398,717815457.61987,1442187232.31669,306099248.015839,733988827.755443,465,-0.573568324885616
"S466",7371975398,717815457.61987,1442187232.31669,306100065.248842,733988827.755443,466,-0.57356718638547
"S467",7371975398,717815457.61987,1442187232.31669,305934594.163185,733988827.755443,467,-0.573797706756551
"S468",7371975398,717815457.61987,1442187232.31669,305934594.163185,733988827.755443,468,-0.573797706756551
"S469",7371975398,717815457.61987,1442187232.31669,305934594.163185,733988827.755443,469,-0.573797706756551
"S470",7371975398,717815457.61987,1442187232.31669,305941783.167409,733988827.755443,470,-0.573787691641735
"S471",7371975398,717815457.61987,1442187232.31669,305941783.167409,733704293.362586,471,-0.573787691641735
"S472",7371975398,717815457.61987,1442187232.31669,305940431.044522,733703062.835801,472,-0.573789575305388
"S473",7371975398,717815457.61987,1442187232.31669,305940431.044522,733718761.191538,473,-0.573789575305388
"S474",7371975398,717815457.61987,1442187232.31669,305877099.571793,733718761.191538,474,-0.573877803375788
"S475",7371975398,717815457.61987,1442187232.31669,305879532.88702,733718761.191538,475,-0.573874413486087
"S476",7371975398,717815457.61987,1442187232.31669,305879532.88702,733696509.314914,476,-0.573874413486087
"S477",7371975398,717815457.61987,1442187232.31669,305879532.88702,733696509.314914,477,-0.573874413486087
"S478",7371975398,717815457.61987,1442187232.31669,305879532.88702,728506310.54971,478,-0.573874413486087
"S479",7371975398,717815457.61987,1442187232.31669,305882567.855601,728711262.862958,479,-0.573870185423639
"S480",7371975398,717815457.61987,1442187232.31669,305882567.855601,728709258.604015,480,-0.573870185423639
"S481",7371975398,717815457.61987,1442187232.31669,305884312.497447,728709258.604015,481,-0.573867754935652
"S482",7371975398,717815457.61987,1442187232.31669,305887059.573574,729557940.448588,482,-0.573863927940709
"S483",7371975398,717815457.61987,1442187232.31669,305886369.553079,729557940.448588,483,-0.57386488921911
"S484",7371975398,717815457.61987,1442187232.31669,305887410.768461,729595042.246424,484,-0.57386343868559
"S485",7371975398,717815457.61987,1442187232.31669,305887410.768461,729590916.265994,485,-0.57386343868559
"S486",7371975398,717815457.61987,1442187232.31669,305887410.768461,729590916.265994,486,-0.57386343868559
"S487",7371975398,717815457.61987,1442187232.31669,305887410.768461,729589395.578687,487,-0.57386343868559
"S488",7371975398,717815457.61987,1442187232.31669,305761039.294739,728498967.861476,488,-0.574039488772531
"S489",7371975398,717815457.61987,1442187232.31669,305713438.125043,728498967.861476,489,-0.574105802710454
"S490",7371975398,717815457.61987,1442187232.31669,305713438.125043,728498967.861476,490,-0.574105802710454
"S491",7371975398,717815457.61987,1442187232.31669,305713438.125043,728498967.861476,491,-0.574105802710454
"S492",7371975398,717815457.61987,1442187232.31669,305785582.537313,728535378.450673,492,-0.574005297195416
"S493",7371975398,717815457.61987,1442187232.31669,305785582.537313,728535378.450673,493,-0.574005297195416
"S494",7371975398,717815457.61987,1442187232.31669,305788095.886687,728534308.080792,494,-0.574001795808886
"S495",7371975398,717815457.61987,1442187232.31669,305790317.59444,728264381.140703,495,-0.573998700712884
"S496",7371975398,717815457.61987,1442187232.31669,305687142.443569,728264381.140703,496,-0.574142435637754
"S497",7371975398,717815457.61987,1442187232.31669,305687142.443569,728264381.140703,497,-0.574142435637754
"S498",7371975398,717815457.61987,1442187232.31669,305687142.443569,728409029.043259,498,-0.574142435637754
"S499",7371975398,717815457.61987,1442187232.31669,305687142.443569,728386981.354867,499,-0.574142435637754
"S500",7371975398,717815457.61987,1442187232.31669,305687142.443569,728386981.354867,500,-0.574142435637754
"S501",7371975398,717815457.61987,1442187232.31669,305687142.443569,728386330.126589,501,-0.574142435637754
"S502",7371975398,717815457.61987,1442187232.31669,305689603.669948,728626524.970075,502,-0.574139006864588
"S503",7371975398,717815457.61987,1442187232.31669,305692987.910447,728626524.970075,503,-0.574134292225939
"S504",7371975398,717815457.61987,1442187232.31669,305570804.989003,728626524.970075,504,-0.574304507174847
"S505",7371975398,717815457.61987,1442187232.31669,305214816.209482,728949426.634339,505,-0.5748004407407
"S506",7371975398,717815457.61987,1442187232.31669,305214816.209482,728523764.434412,506,-0.5748004407407
"S507",7371975398,717815457.61987,1442187232.31669,305214816.209482,728501744.458355,507,-0.5748004407407
"S508",7371975398,717815457.61987,1442187232.31669,305214816.209482,728501744.458355,508,-0.5748004407407
"S509",7371975398,717815457.61987,1442187232.31669,305217517.94016,728501744.458355,509,-0.574796676917212
"S510",7371975398,717815457.61987,1442187232.31669,305218983.79212,728501744.458355,510,-0.5747946348158
"S511",7371975398,717815457.61987,1442187232.31669,305218983.79212,728501734.75921,511,-0.5747946348158
"S512",7371975398,717815457.61987,1442187232.31669,305218983.79212,728497246.777982,512,-0.5747946348158
"S513",7371975398,717815457.61987,1442187232.31669,305218985.775874,728536497.281673,513,-0.574794632052202
"S514",7371975398,717815457.61987,1442187232.31669,305218985.775874,728536497.281673,514,-0.574794632052202
"S515",7371975398,717815457.61987,1442187232.31669,305218985.775874,727457492.163162,515,-0.574794632052202
"S516",7371975398,717815457.61987,1442187232.31669,305220396.259502,727457492.163162,516,-0.574792667085283
"S517",7371975398,717815457.61987,1442187232.31669,305223866.835519,725920349.687738,517,-0.574787832171267
"S518",7371975398,717815457.61987,1442187232.31669,305216801.705004,725920349.687738,518,-0.57479767471567
"S519",7371975398,717815457.61987,1442187232.31669,305216801.705004,725920349.687738,519,-0.57479767471567
"S520",7371975398,717815457.61987,1442187232.31669,305216807.656265,725920349.687738,520,-0.574797666424875
"S521",7371975398,717815457.61987,1442187232.31669,305216807.656265,725920349.687738,521,-0.574797666424875
"S522",7371975398,717815457.61987,1442187232.31669,305216807.656265,725893484.257803,522,-0.574797666424875
"S523",7371975398,717815457.61987,1442187232.31669,305100497.935157,725087421.47456,523,-0.574959699326052
"S524",7371975398,717815457.61987,1442187232.31669,305099413.086829,725087421.47456,524,-0.574961210645314
"S525",7371975398,717815457.61987,1442187232.31669,305099413.086829,725084114.461686,525,-0.574961210645314
"S526",7371975398,717815457.61987,1442187232.31669,305102603.711495,725084114.461686,526,-0.574956765735927
"S527",7371975398,717815457.61987,1442187232.31669,305102603.711495,725084114.461686,527,-0.574956765735927
"S528",7371975398,717815457.61987,1442187232.31669,305107794.428071,725084114.461686,528,-0.574949534467053
"S529",7371975398,717815457.61987,1442187232.31669,305105678.015076,725084114.461686,529,-0.574952482875272
"S530",7371975398,717815457.61987,1442187232.31669,305105678.015076,725084114.461686,530,-0.574952482875272
"S531",7371975398,717815457.61987,1442187232.31669,305105678.015076,725084114.461686,531,-0.574952482875272
"S532",7371975398,717815457.61987,1442187232.31669,305025543.415804,725084114.461686,532,-0.575064119645449
"S533",7371975398,717815457.61987,1442187232.31669,305025543.415804,725478950.56774,533,-0.575064119645449
"S534",7371975398,717815457.61987,1442187232.31669,305028484.006089,725478950.56774,534,-0.575060023062889
"S535",7371975398,717815457.61987,1442187232.31669,305028484.006089,725478950.56774,535,-0.575060023062889
"S536",7371975398,717815457.61987,1442187232.31669,305028498.884241,725753252.516789,536,-0.575060002335901
"S537",7371975398,717815457.61987,1442187232.31669,305028498.884241,725732331.576184,537,-0.575060002335901
"S538",7371975398,717815457.61987,1442187232.31669,305028498.884241,725732331.576184,538,-0.575060002335901
"S539",7371975398,717815457.61987,1442187232.31669,305028498.884241,725732331.576184,539,-0.575060002335901
"S540",7371975398,717815457.61987,1442187232.31669,305030186.823519,725732331.576184,540,-0.575057650841155
"S541",7371975398,717815457.61987,1442187232.31669,305030186.823519,725732331.576184,541,-0.575057650841155
"S542",7371975398,717815457.61987,1442187232.31669,305023112.352815,725732331.576184,542,-0.575067506397521
"S543",7371975398,717815457.61987,1442187232.31669,305020730.194965,725284720.185163,543,-0.575070825019077
"S544",7371975398,717815457.61987,1442187232.31669,304932704.933567,725284720.185163,544,-0.575193454394724
"S545",7371975398,717815457.61987,1442187232.31669,304932723.779226,725284720.185163,545,-0.57519342814054
"S546",7371975398,717815457.61987,1442187232.31669,304932723.779226,725284197.744518,546,-0.57519342814054
"S547",7371975398,717815457.61987,1442187232.31669,303815765.446488,725284197.744518,547,-0.576749480355466
"S548",7371975398,717815457.61987,1442187232.31669,303815765.446488,725284197.744518,548,-0.576749480355466
"S549",7371975398,717815457.61987,1442187232.31669,303815765.446488,725284197.744518,549,-0.576749480355466
"S550",7371975398,717815457.61987,1442187232.31669,303834660.037731,725284197.744518,550,-0.576723158003333
"S551",7371975398,717815457.61987,1442187232.31669,303834660.037731,725284197.744518,551,-0.576723158003333
"S552",7371975398,717815457.61987,1442187232.31669,303836385.880071,725214996.491488,552,-0.576720753705234
"S553",7371975398,717815457.61987,1442187232.31669,303842574.135707,725214996.491488,553,-0.576712132749012
"S554",7371975398,717815457.61987,1442187232.31669,303842597.94075,725027547.991275,554,-0.576712099585831
"S555",7371975398,717815457.61987,1442187232.31669,303842714.336469,725027547.991275,555,-0.576711937433126
"S556",7371975398,717815457.61987,1442187232.31669,303841412.253,725027547.991275,556,-0.576713751386078
"S557",7371975398,717815457.61987,1442187232.31669,303841412.253,725027547.991275,557,-0.576713751386078
"S558",7371975398,717815457.61987,1442187232.31669,303841412.253,725027547.991275,558,-0.576713751386078
"S559",7371975398,717815457.61987,1442187232.31669,303841412.253,725027547.991275,559,-0.576713751386078
"S560",7371975398,717815457.61987,1442187232.31669,303841412.253,725027547.991275,560,-0.576713751386078
"S561",7371975398,717815457.61987,1442187232.31669,303841412.253,725027547.991275,561,-0.576713751386078
"S562",7371975398,717815457.61987,1442187232.31669,303841412.253,725027547.991275,562,-0.576713751386078
"S563",7371975398,717815457.61987,1442187232.31669,303846267.67997,725505305.180647,563,-0.576706987214426
