"","Tax","TaxLevel","SP","value","Vari"
"213","CBDR_P",30,"Universal",28842.4161157228,"CO2_Effect"
"214","CBDR_P",40,"Universal",28413.3294123587,"CO2_Effect"
"215","CBDR_P",50,"Universal",28035.5536084652,"CO2_Effect"
"216","CBDR_P",60,"Universal",27697.4387187869,"CO2_Effect"
"217","CBDR_P",70,"Universal",27391.009042928,"CO2_Effect"
"218","CBDR_P",80,"Universal",27110.538444528,"CO2_Effect"
"219","CBDR_P",90,"Universal",26851.7648154322,"CO2_Effect"
"220","CBDR_P",100,"Universal",26611.4238856755,"CO2_Effect"
"221","CBDR_P",0,"Cash",30706.615004915,"CO2_Effect"
"222","CBDR_P",10,"Cash",29942.9729811659,"CO2_Effect"
"223","CBDR_P",20,"Cash",29345.3826837749,"CO2_Effect"
"224","CBDR_P",30,"Cash",28848.4161103682,"CO2_Effect"
"225","CBDR_P",40,"Cash",28420.6952094324,"CO2_Effect"
"226","CBDR_P",50,"Cash",28044.0844131456,"CO2_Effect"
"227","CBDR_P",60,"Cash",27706.9713775323,"CO2_Effect"
"228","CBDR_P",70,"Cash",27401.4084634619,"CO2_Effect"
"229","CBDR_P",80,"Cash",27121.6911005728,"CO2_Effect"
"230","CBDR_P",90,"Cash",26863.5741432259,"CO2_Effect"
"231","CBDR_P",100,"Cash",26623.8069132509,"CO2_Effect"
"232","CBDR_P",0,"SP_current",30706.615004915,"CO2_Effect"
"233","CBDR_P",10,"SP_current",29942.423011896,"CO2_Effect"
"234","CBDR_P",20,"SP_current",29344.4739036903,"CO2_Effect"
"235","CBDR_P",30,"SP_current",28847.2740130965,"CO2_Effect"
"236","CBDR_P",40,"SP_current",28419.4097065783,"CO2_Effect"
"237","CBDR_P",50,"SP_current",28042.7225492206,"CO2_Effect"
"238","CBDR_P",60,"SP_current",27705.5844360966,"CO2_Effect"
"239","CBDR_P",70,"SP_current",27400.0363989797,"CO2_Effect"
"240","CBDR_P",80,"SP_current",27120.36547888,"CO2_Effect"
"241","CBDR_P",90,"SP_current",26862.320175779,"CO2_Effect"
"242","CBDR_P",100,"SP_current",26622.6449090229,"CO2_Effect"
"243","CBDR_P",0,"SP_covid",30706.615004915,"CO2_Effect"
"244","CBDR_P",10,"SP_covid",29941.8649425826,"CO2_Effect"
"245","CBDR_P",20,"SP_covid",29343.4917265298,"CO2_Effect"
"246","CBDR_P",30,"SP_covid",28845.9592154393,"CO2_Effect"
"247","CBDR_P",40,"SP_covid",28417.8303777047,"CO2_Effect"
"248","CBDR_P",50,"SP_covid",28040.9315048325,"CO2_Effect"
"249","CBDR_P",60,"SP_covid",27703.6237255983,"CO2_Effect"
"250","CBDR_P",70,"SP_covid",27397.9401373513,"CO2_Effect"
"251","CBDR_P",80,"SP_covid",27118.1617554383,"CO2_Effect"
"252","CBDR_P",90,"SP_covid",26860.0324002301,"CO2_Effect"
"253","CBDR_P",100,"SP_covid",26620.2927916569,"CO2_Effect"
"254","CBDR_P",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"255","CBDR_P",10,"PerfectTargeted",29953.182025538,"CO2_Effect"
"256","CBDR_P",20,"PerfectTargeted",29359.7391837346,"CO2_Effect"
"257","CBDR_P",30,"PerfectTargeted",28865.0197616756,"CO2_Effect"
"258","CBDR_P",40,"PerfectTargeted",28439.0673682015,"CO2_Effect"
"259","CBDR_P",50,"PerfectTargeted",28063.6116950429,"CO2_Effect"
"260","CBDR_P",60,"PerfectTargeted",27726.9581760064,"CO2_Effect"
"261","CBDR_P",70,"PerfectTargeted",27423.8395610631,"CO2_Effect"
"262","CBDR_P",80,"PerfectTargeted",27145.8373791767,"CO2_Effect"
"263","CBDR_P",90,"PerfectTargeted",26888.7672310075,"CO2_Effect"
"264","CBDR_P",100,"PerfectTargeted",26649.0679799443,"CO2_Effect"
"265","CBDR_C",0,"Null",30706.615004915,"CO2_Effect"
"266","CBDR_C",10,"Null",29887.8361616206,"CO2_Effect"
"267","CBDR_C",20,"Null",29230.9853379596,"CO2_Effect"
"268","CBDR_C",30,"Null",28673.7997615568,"CO2_Effect"
"269","CBDR_C",40,"Null",28185.8049924052,"CO2_Effect"
"270","CBDR_C",50,"Null",27749.1795310175,"CO2_Effect"
"271","CBDR_C",60,"Null",27352.4308164801,"CO2_Effect"
"272","CBDR_C",70,"Null",26987.6591369643,"CO2_Effect"
"273","CBDR_C",80,"Null",26649.1794588325,"CO2_Effect"
"274","CBDR_C",90,"Null",26332.7544644332,"CO2_Effect"
"275","CBDR_C",100,"Null",26035.1362777386,"CO2_Effect"
"276","CBDR_C",0,"Universal",30706.615004915,"CO2_Effect"
"277","CBDR_C",10,"Universal",30016.401086394,"CO2_Effect"
"278","CBDR_C",20,"Universal",29477.8906976252,"CO2_Effect"
"279","CBDR_C",30,"Universal",29031.7295964706,"CO2_Effect"
"280","CBDR_C",40,"Universal",28649.0952926585,"CO2_Effect"
"281","CBDR_C",50,"Universal",28313.2383299297,"CO2_Effect"
"282","CBDR_C",60,"Universal",28013.4153404617,"CO2_Effect"
"283","CBDR_C",70,"Universal",27742.276875715,"CO2_Effect"
"284","CBDR_C",80,"Universal",27494.5571982501,"CO2_Effect"
"285","CBDR_C",90,"Universal",27266.3478241759,"CO2_Effect"
"286","CBDR_C",100,"Universal",27054.6648641385,"CO2_Effect"
"287","CBDR_C",0,"Cash",30706.615004915,"CO2_Effect"
"288","CBDR_C",10,"Cash",30019.1010878302,"CO2_Effect"
"289","CBDR_C",20,"Cash",29482.8021982795,"CO2_Effect"
"290","CBDR_C",30,"Cash",29038.5249149157,"CO2_Effect"
"291","CBDR_C",40,"Cash",28657.532096685,"CO2_Effect"
"292","CBDR_C",50,"Cash",28323.1280168016,"CO2_Effect"
