"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"HTI",460.982680822166,182.276856280953,655.748507444238,460.982680822166,182.276856280953,655.748507444238
"HUN",-464.792950206704,-464.792950206704,-464.792950206704,-365.558744545025,-365.558744545025,-365.558744545025
"IDN",1637.12076885484,4392.47264647301,916.469058146666,1637.12076885484,4392.47264647301,916.469058146666
"IND",25753.5207549763,22218.3245972777,11297.8887885005,25753.5207549763,22218.3245972777,11297.8887885005
"IRL",-208.030521725688,-208.030521725688,-208.030521725688,-297.390381806113,-297.390381806113,-297.390381806113
"IRN",38.216328990985,1338.9629656887,40.3449898415573,38.216328990985,1338.9629656887,40.3449898415573
"IRQ",4.7923059644708,623.272225696148,2.61831807018332,4.7923059644708,623.272225696148,2.61831807018332
"ISL",-14.275811580588,-14.275811580588,-14.275811580588,-13.1456310455403,-13.1456310455403,-13.1456310455403
"ISR",-223.220059996987,-223.220059996987,-223.220059996987,-516.458013823549,-516.458013823549,-516.458013823549
"ITA",-2303.80820326602,-2303.80820326602,-2303.80820326602,-2591.26372885042,-2591.26372885042,-2591.26372885042
"JAM",0.235456030903341,48.4779821248468,0.0276445201569714,0.235456030903341,48.4779821248468,0.0276445201569714
"JOR",0.574862510474957,162.41782406911,0,0.574862510474957,162.41782406911,0
"JPN",-6131.59626029095,-6131.59626029095,-6131.59626029095,-9093.54939295908,-9093.54939295908,-9093.54939295908
"KAZ",1.07632268822354,299.377092714168,0.452823248392168,1.07632268822354,299.377092714168,0.452823248392168
"KEN",2120.50888684228,833.531843518499,2403.82619939431,2120.50888684228,833.531843518499,2403.82619939431
"KGZ",11.3058568877328,102.872942654402,7.71794876565608,11.3058568877328,102.872942654402,7.71794876565608
"KHM",88.1649752323554,265.711888206196,36.9067606103435,88.1649752323554,265.711888206196,36.9067606103435
"KIR",0.275436234680729,1.89462344274596,0.0560952211294888,0.275436234680729,1.89462344274596,0.0560952211294888
"KOR",17.7486934343521,852.465381066037,33.1919414121116,17.7486934343521,852.465381066037,33.1919414121116
"LAO",71.3665482027498,115.401045357891,44.587193623327,71.3665482027498,115.401045357891,44.587193623327
"LBN",0,113.182692970214,0,0,113.182692970214,0
"LBR",186.729735582909,78.0438869188077,103.131385477709,186.729735582909,78.0438869188077,103.131385477709
