"","Pop","PPop_npl_ori","PR_npl_ori","PPop_ipl_ori","PR_ipl_ori","Gini_ori","PPop_npl_tax","PR_npl_tax","PPop_ipl_tax","PR_ipl_tax","Gini_tax","CO2_ori","CO2_tax","IPL_Change_rate","NPL_Change_rate"
"Germany",82657002,13307777.3288506,0.16100000008288,202061.280023245,0.00244457547617375,0.195338784391303,13002875.8280627,0.157311244219367,157132.384574332,0.00190101722506621,0.191282831120988,770.897829584022,716.672547841358,-0.222352820113504,-0.0229115270907689
"Djibouti",944100,199205.100918807,0.21100000097321,180126.796381211,0.190792073277418,0.312105649511618,101715.382978019,0.10773793345834,79919.1831832489,0.0846511843906884,0.279621543058205,1.43373028805474,1.36902664673181,-0.556317078919717,-0.489393682647331
"Denmark",5764980,697562.579954058,0.120999999992031,8123.15393523903,0.00140905153794792,0.141137043436777,689671.210511588,0.119631154056317,5974.17447160409,0.00103628711142174,0.142600296114023,50.7414364439255,48.2792831099036,-0.264549887982851,-0.0113127763289554
"Dominican Republic",10513111,2207753.31863502,0.210000000821357,105293.555493104,0.0100154517053139,0.450854028390314,1905635.44336441,0.181262753086542,32902.3903455982,0.00312965309180111,0.436139606130458,29.0986787043659,28.3372649538449,-0.687517529524843,-0.136844036297228
"Algeria",41389174,2276404.60409527,0.0550000008237725,0,0,0.283082882454535,1217046.93510583,0.0294049582894751,0,0,0.258951133629573,155.582710182195,140.190064421172,NA,-0.46536440274442
"Ecuador",16785356,5539167.47708788,0.329999999826508,539355.97273668,0.0321325310429329,0.460369881507598,5630900.57559805,0.335465067026165,110055.432106349,0.00655663377686769,0.431020438621725,40.5717518490772,40.7621063468915,-0.795950285767802,0.0165608097046377
"Egypt, Arab Rep.",96442590,31343841.7159728,0.324999999647177,2415743.24777628,0.0250485107023388,0.329355705754106,30318789.05177,0.314371369036958,1431123.26670501,0.0148391210429438,0.309567385330798,218.113558403137,201.237787899382,-0.407584697578116,-0.0327034788361768
"Eritrea",3213969,2410476.75825521,0.750000002568542,2410476.75825521,0.750000002568542,0.385430627513374,1644759.68729882,0.511753438598448,1644759.68729882,0.511753438598448,0.32759815574077,1.07169889965653,1.20456720054946,-0.317662084205553,-0.317662084205553
"Spain",46593236,10077096.1769645,0.21627809188794,315944.579696054,0.00678091085358514,0.207901207688901,9883255.02698313,0.212117806691579,262442.363914609,0.005632627961591,0.204464183365556,278.123259050342,261.679105341456,-0.169340508493343,-0.0192358142243834
"Estonia",1317384,216586.212464204,0.164406287357524,3604.17247235318,0.0027358556596658,0.27644652919603,188776.128967599,0.143296205941168,1540.59684249379,0.0011694364304514,0.264316293519916,15.0151330779031,13.8254064385591,-0.57255185363315,-0.128401910630396
"Ethiopia",106399926,25003982.3421461,0.234999997482574,28711599.7520305,0.269846050005998,0.320765589276437,12066556.4048087,0.113407563881282,15188482.2784668,0.142748992874927,0.285647079286122,30.770367944034,30.8215751334852,-0.470998397524238,-0.517414616612105
"Finland",5508214,660985.679267308,0.119999999866982,3623.17835337494,0.000657777340055222,0.176016314593189,638769.794844573,0.11596677159685,2040.52544155127,0.000370451373449047,0.172269870590309,53.3295043001434,50.8692886171794,-0.436813415588401,-0.033610235621686
